City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Ponta Do Sol,32.6667,-17.1,63.72,90,58,10.58,PT,2022-04-21 19:12:59
137,Panaba,21.2833,-88.2667,95.4,33,3,19.48,MX,2022-04-21 19:13:00
138,Rurrenabaque,-14.4413,-67.5278,89.58,51,100,6.29,BO,2022-04-21 19:13:00
139,Zharkent,44.1628,80.0,58.32,42,11,3.33,KZ,2022-04-21 19:14:00
140,Husavik,66.0449,-17.3389,48.36,73,0,5.64,IS,2022-04-21 19:14:00
141,Souillac,-20.5167,57.5167,79.18,83,75,6.91,MU,2022-04-21 19:14:01
142,Itarema,-2.9248,-39.9167,82.13,81,86,12.59,BR,2022-04-21 19:14:01
143,Longyearbyen,78.2186,15.6401,30.04,80,75,4.61,SJ,2022-04-21 19:13:56
144,Dumka,24.2667,87.25,81.37,63,0,3.91,IN,2022-04-21 19:14:01
145,Hualmay,-11.0964,-77.6139,72.01,74,94,11.14,PE,2022-04-21 19:14:02
146,Rio Gallegos,-51.6226,-69.2181,50.05,37,40,19.57,AR,2022-04-21 19:14:02
147,Hofn,64.2539,-15.2082,47.59,79,5,8.34,IS,2022-04-21 19:14:03
148,Bondo,3.8146,23.6866,75.25,81,100,2.84,CD,2022-04-21 19:14:03
149,Tasiilaq,65.6145,-37.6368,33.96,98,100,14.18,GL,2022-04-21 19:14:03
150,Parnamirim,-5.9156,-35.2628,86.34,69,100,9.31,BR,2022-04-21 19:14:04
151,Santa Rosa,14.3122,121.1114,82.09,78,10,7.78,PH,2022-04-21 19:10:27
152,Iquique,-20.2208,-70.1431,69.84,76,23,8.46,CL,2022-04-21 19:14:04
153,Lorengau,-2.0226,147.2712,81.88,75,56,9.73,PG,2022-04-21 19:14:04
154,Dikson,73.5069,80.5464,3.18,99,99,11.79,RU,2022-04-21 19:14:05
155,Alexandria,31.2156,29.9553,62.15,64,100,12.06,EG,2022-04-21 19:14:05
156,Sur,22.5667,59.5289,85.12,55,0,6.89,OM,2022-04-21 19:14:05
157,Port-Cartier,50.0334,-66.8654,35.78,80,100,7.18,CA,2022-04-21 19:14:06
158,Balakhninskiy,58.0106,114.2769,10.81,96,50,2.64,RU,2022-04-21 19:14:06
159,Saint Anthony,45.0205,-93.218,55.15,53,20,13.8,US,2022-04-21 19:14:00
160,Champerico,14.3,-91.9167,87.01,61,4,12.55,GT,2022-04-21 19:14:06
161,Necochea,-38.5473,-58.7368,65.14,36,77,13.27,AR,2022-04-21 19:13:17
162,Kongolo,-5.3833,27.0,71.47,88,42,1.74,CD,2022-04-21 19:14:07
163,Vila Franca Do Campo,37.7167,-25.4333,59.41,68,100,18.05,PT,2022-04-21 19:14:07
164,Ulaanbaatar,47.9077,106.8832,24.93,74,0,0.0,MN,2022-04-21 19:14:07
165,Torbay,47.6666,-52.7314,47.88,61,95,15.46,CA,2022-04-21 19:14:08
166,Bengkulu,-3.8004,102.2655,77.11,86,100,7.07,ID,2022-04-21 19:14:08
167,Fortuna,40.5982,-124.1573,60.1,68,75,10.36,US,2022-04-21 19:14:08
168,Yurimaguas,-5.9,-76.0833,84.36,70,75,4.61,PE,2022-04-21 19:14:09
169,Port Elizabeth,-33.918,25.5701,64.09,91,40,18.41,ZA,2022-04-21 19:14:09
170,Hobyo,5.3505,48.5268,83.1,74,56,12.93,SO,2022-04-21 19:14:09
171,Lokoja,7.8024,6.743,86.34,57,100,7.83,NG,2022-04-21 19:14:10
172,Shihezi,44.3,86.0333,59.52,24,12,2.95,CN,2022-04-21 19:14:10
173,Talnakh,69.4865,88.3972,18.21,81,100,1.25,RU,2022-04-21 19:14:10
174,Mount Isa,-20.7333,139.5,71.37,28,100,9.22,AU,2022-04-21 19:14:11
175,Bud,39.447,-86.1758,66.92,76,62,9.95,US,2022-04-21 19:14:11
176,Bredasdorp,-34.5322,20.0403,59.81,86,0,2.57,ZA,2022-04-21 19:13:55
177,Codrington,-38.2667,141.9667,54.75,67,100,10.96,AU,2022-04-21 19:14:12
178,Veraval,20.9,70.3667,82.44,70,5,14.05,IN,2022-04-21 19:14:12
179,Bambous Virieux,-20.3428,57.7575,79.05,83,75,6.91,MU,2022-04-21 19:14:04
180,Tommot,58.9564,126.2925,20.39,94,100,2.04,RU,2022-04-21 19:14:12
181,Shitkino,56.3703,98.3543,28.99,95,100,4.09,RU,2022-04-21 19:14:13
182,Nuuk,64.1835,-51.7216,34.41,93,100,25.32,GL,2022-04-21 19:14:13
183,Narsaq,60.9167,-46.05,41.22,87,100,6.42,GL,2022-04-21 19:14:13
184,Arequipa,-16.3989,-71.535,66.27,42,0,10.36,PE,2022-04-21 19:15:14
185,Nantucket,41.2835,-70.0995,55.51,66,0,14.97,US,2022-04-21 19:11:51
186,General Cepeda,25.3833,-101.45,88.07,22,27,16.46,MX,2022-04-21 19:15:15
187,Puerto Escondido,15.85,-97.0667,88.63,70,0,11.5,MX,2022-04-21 19:15:15
188,San Vicente,-26.6167,-54.1333,71.02,89,57,0.89,AR,2022-04-21 19:15:16
189,Nioro,13.35,-15.75,100.22,13,99,8.43,GM,2022-04-21 19:15:16
190,Savannah Bight,16.45,-85.85,80.73,74,7,10.56,HN,2022-04-21 19:15:16
191,Rocha,-34.4833,-54.3333,73.27,49,38,10.4,UY,2022-04-21 19:15:16
192,Omsukchan,62.5333,155.8,-0.04,100,99,3.36,RU,2022-04-21 19:15:17
193,Beira,-19.8436,34.8389,78.89,89,75,11.5,MZ,2022-04-21 19:15:17
194,Castro,-24.7911,-50.0119,71.24,63,65,4.47,BR,2022-04-21 19:11:21
195,San Cristobal,7.7669,-72.225,75.38,50,69,2.42,VE,2022-04-21 19:14:56
196,Sinjai,-5.1241,120.253,75.13,84,75,3.76,ID,2022-04-21 19:15:18
197,Pedasi,7.5333,-80.0333,89.06,70,65,7.07,PA,2022-04-21 19:15:18
198,Madison Heights,42.4859,-83.1052,66.47,54,0,13.8,US,2022-04-21 19:13:02
199,Kruisfontein,-34.0033,24.7314,61.88,84,4,5.61,ZA,2022-04-21 19:15:18
200,Aranos,-24.1333,19.1167,67.75,36,100,9.06,NA,2022-04-21 19:15:19
201,Nizwa,22.9333,57.5333,82.58,12,0,1.9,OM,2022-04-21 19:15:19
202,Arman,59.7,150.1667,17.4,89,54,5.28,RU,2022-04-21 19:15:19
203,Mardin,37.3131,40.7436,55.13,46,0,2.3,TR,2022-04-21 19:15:20
204,Waingapu,-9.6567,120.2641,78.22,82,97,4.92,ID,2022-04-21 19:15:20
205,Santa Rosalia,27.3167,-112.2833,79.16,38,0,6.78,MX,2022-04-21 19:15:20
206,Gogrial,8.5332,28.1004,89.01,43,99,8.93,SS,2022-04-21 19:15:20
207,Tiksi,71.6872,128.8694,6.17,98,100,5.14,RU,2022-04-21 19:15:21
208,Padang,-0.9492,100.3543,77.59,87,100,3.78,ID,2022-04-21 19:15:21
209,Saint-Georges,12.0564,-61.7485,83.88,70,20,26.46,GD,2022-04-21 19:15:21
210,Esperance,-33.8667,121.9,59.68,73,68,7.05,AU,2022-04-21 19:11:08
211,Douglas,41.3,-96.167,66.74,66,40,9.22,US,2022-04-21 19:13:17
212,Pisco,-13.7,-76.2167,73.45,64,0,23.02,PE,2022-04-21 19:15:22
213,Antsohihy,-14.8796,47.9875,74.28,93,100,2.89,MG,2022-04-21 19:15:22
214,Ugoofaaru,5.6667,73.0,83.41,72,100,0.76,MV,2022-04-21 19:15:22
215,Dzhida,50.6772,106.1806,33.89,56,91,2.39,RU,2022-04-21 19:15:23
216,Xining,36.6167,101.7667,46.24,26,100,0.74,CN,2022-04-21 19:15:23
217,Santa Cruz,-17.8,-63.1667,89.06,58,40,13.8,BO,2022-04-21 19:12:26
218,Tual,-5.6667,132.75,83.1,74,98,4.16,ID,2022-04-21 19:15:23
219,La Ronge,55.1001,-105.2842,41.25,33,75,8.05,CA,2022-04-21 19:15:24
220,Arlit,18.7369,7.3853,91.72,8,12,8.63,NE,2022-04-21 19:15:24
221,Nanortalik,60.1432,-45.2371,38.17,73,100,19.86,GL,2022-04-21 19:15:24
222,Bombay,19.0144,72.8479,87.78,74,20,6.91,IN,2022-04-21 19:13:58
223,Ingham,42.6,-84.3833,63.64,54,40,11.5,US,2022-04-21 19:15:25
224,Sept-Iles,50.2001,-66.3821,34.63,82,100,6.04,CA,2022-04-21 19:13:29
225,Sobolevo,54.4299,31.8996,39.33,87,0,7.36,RU,2022-04-21 19:15:25
226,Cadillac,44.2519,-85.4012,58.8,44,75,17.27,US,2022-04-21 19:15:26
227,Daru,-9.0763,143.2092,76.98,91,100,7.61,PG,2022-04-21 19:15:26
228,Lubango,-14.9172,13.4925,60.66,60,87,2.35,AO,2022-04-21 19:15:26
229,Westport,41.1415,-73.3579,59.45,54,0,17.27,US,2022-04-21 19:15:26
230,Sungaipenuh,-2.0833,101.3833,64.76,95,100,1.63,ID,2022-04-21 19:15:27
231,Cayenne,4.9333,-52.3333,74.08,1,100,3.44,GF,2022-04-21 19:12:55
232,Alta Floresta,-9.8756,-56.0861,82.22,78,75,3.44,BR,2022-04-21 19:16:27
233,Roma,43.2128,-75.4557,53.69,69,100,11.99,US,2022-04-21 19:12:53
234,Deputatskiy,69.3,139.9,2.46,98,100,3.71,RU,2022-04-21 19:16:28
235,Yenagoa,4.9247,6.2642,78.58,89,100,5.39,NG,2022-04-21 19:16:28
236,Vostok,46.4856,135.8833,40.82,78,98,5.44,RU,2022-04-21 19:16:28
237,Tres Passos,-27.4556,-53.9319,75.0,62,97,2.48,BR,2022-04-21 19:16:28
238,Vaitape,-16.5167,-151.75,79.07,78,56,8.95,PF,2022-04-21 19:16:29
239,Olafsvik,64.8945,-23.7142,47.16,86,100,4.74,IS,2022-04-21 19:16:29
240,Soyo,-6.1349,12.3689,79.18,86,100,6.93,AO,2022-04-21 19:16:29
241,Morehead,37.2711,-87.1764,65.95,85,100,4.61,US,2022-04-21 19:16:30
242,Elizabethton,36.3487,-82.2107,74.64,51,40,6.91,US,2022-04-21 19:13:01
243,Severo-Kurilsk,50.6789,156.125,34.97,92,79,9.19,RU,2022-04-21 19:16:30
244,Chokurdakh,70.6333,147.9167,-9.17,100,100,0.69,RU,2022-04-21 19:15:13
245,Erenhot,43.6475,111.9767,38.82,37,18,9.6,CN,2022-04-21 19:13:55
246,Lannion,48.75,-3.4167,55.38,70,0,5.75,FR,2022-04-21 19:16:24
247,Broome,42.2506,-75.833,53.71,72,100,10.0,US,2022-04-21 19:16:31
248,Yeppoon,-23.1333,150.7333,69.58,82,100,15.08,AU,2022-04-21 19:16:31
249,Moose Factory,51.2585,-80.6094,39.2,93,100,10.36,CA,2022-04-21 19:16:31
250,Ngaoundere,7.3167,13.5833,76.42,42,99,2.39,CM,2022-04-21 19:16:32
251,Okhotsk,59.3833,143.3,19.11,97,94,2.13,RU,2022-04-21 19:16:32
252,Nome,64.5011,-165.4064,37.47,56,0,8.05,US,2022-04-21 19:16:32
253,Itacare,-14.2775,-38.9967,81.28,70,0,11.72,BR,2022-04-21 19:13:18
254,Ikongo,-21.8833,47.4333,69.24,98,100,1.1,MG,2022-04-21 19:16:32
255,Clonakilty,51.6231,-8.8706,54.09,87,94,14.97,IE,2022-04-21 19:16:33
256,Osa,57.2829,55.4567,30.04,74,0,5.12,RU,2022-04-21 19:16:33
257,Mehamn,71.0357,27.8492,39.33,97,100,14.61,NO,2022-04-21 19:16:33
258,Lagoa,39.05,-27.9833,56.52,66,100,22.06,PT,2022-04-21 19:16:34
259,Mineiros,-17.5694,-52.5511,82.38,39,49,2.39,BR,2022-04-21 19:16:34
260,Elliot,-31.3333,27.85,57.29,56,100,6.42,ZA,2022-04-21 19:16:34
261,Plettenberg Bay,-34.0527,23.3716,63.72,89,93,5.01,ZA,2022-04-21 19:16:35
262,Cherskiy,68.75,161.3,11.53,98,87,5.91,RU,2022-04-21 19:16:35
263,Matagami,49.7502,-77.6328,35.71,93,100,13.8,CA,2022-04-21 19:16:35
264,Klamath Falls,42.2249,-121.7817,45.86,57,75,11.5,US,2022-04-21 19:12:07
265,Shahrud,36.4182,54.9763,66.25,39,100,3.6,IR,2022-04-21 19:16:36
266,Maicao,11.3832,-72.2432,86.59,59,81,7.9,CO,2022-04-21 19:16:36
267,Weligama,5.9667,80.4167,78.93,87,18,4.12,LK,2022-04-21 19:16:36
268,Sumeg,46.977,17.2821,54.66,64,100,5.21,HU,2022-04-21 19:16:36
269,Abonnema,4.7084,6.7931,84.49,84,100,7.58,NG,2022-04-21 19:16:37
270,Cabo San Lucas,22.8909,-109.9124,85.3,66,0,11.5,MX,2022-04-21 19:14:21
271,Murgab,37.4966,61.9714,67.87,64,0,4.61,TM,2022-04-21 19:16:37
272,Permet,40.2336,20.3517,57.27,66,92,7.05,AL,2022-04-21 19:16:37
273,Lavrentiya,65.5833,-171.0,20.17,87,12,5.21,RU,2022-04-21 19:16:38
274,Canandaigua,42.8742,-77.288,56.19,68,100,8.01,US,2022-04-21 19:16:38
275,Takoradi,4.8845,-1.7554,77.67,88,100,3.56,GH,2022-04-21 19:12:23
276,Jundiai,-23.1864,-46.8842,80.35,51,1,6.35,BR,2022-04-21 19:15:16
277,Tete,-16.1564,33.5867,75.29,88,40,2.3,MZ,2022-04-21 19:16:38
278,Hokitika,-42.7167,170.9667,54.88,76,86,20.6,NZ,2022-04-21 19:17:39
279,Avanigadda,16.0215,80.9181,81.23,79,7,9.98,IN,2022-04-21 19:17:39
280,Labuan,5.2767,115.2417,82.06,78,14,5.3,MY,2022-04-21 19:17:39
281,Rabat,33.9911,-6.8401,60.15,64,0,5.75,MA,2022-04-21 19:17:13
282,Kananga,-5.8958,22.4178,71.02,85,12,2.89,CD,2022-04-21 19:17:40
283,Bahia Blanca,-38.7196,-62.2724,67.05,33,97,16.37,AR,2022-04-21 19:17:07
