City_ID,City,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
95,East London,-33.0153,27.9116,68.94,68.94,64,0,11.5,ZA,clear sky
96,Yulara,-25.2406,130.9889,71.44,71.44,35,100,3.44,AU,overcast clouds
97,Teahupoo,-17.8333,-149.2667,71.53,71.56,77,26,20.71,PF,light rain
98,Jieshi,22.8134,115.8257,82.94,82.94,86,0,7.4,CN,clear sky
99,Mountain Home,43.133,-115.6912,36.88,36.88,100,100,5.75,US,overcast clouds
100,Campina Grande Do Sul,-25.3056,-49.0553,71.85,83.52,48,3,5.21,BR,clear sky
101,Redmond,47.674,-122.1215,37.87,44.35,88,75,1.01,US,broken clouds
102,Thompson,55.7435,-97.8558,21.36,21.36,58,0,2.3,CA,clear sky
103,Hobart,-42.8794,147.3294,56.01,58.26,95,75,5.75,AU,light intensity shower rain
104,Mahebourg,-20.4081,57.7,75.25,79.09,73,20,6.91,MU,few clouds
105,Sao Joao Da Barra,-21.6403,-41.0511,84.29,84.29,72,3,10.89,BR,clear sky
106,Kieta,-6.2167,155.6333,79.7,79.7,84,63,1.61,PG,broken clouds
107,Warrnambool,-38.3833,142.4833,61.81,61.81,80,100,10.4,AU,overcast clouds
108,Asosa,10.0667,34.5333,86.58,86.58,20,87,2.55,ET,overcast clouds
109,Rocha,-34.4833,-54.3333,64.56,64.56,88,100,11.52,UY,overcast clouds
110,Kodiak,57.79,-152.4072,44.11,44.11,53,0,11.5,US,clear sky
111,Acapulco,16.8634,-99.8901,75.02,75.02,73,0,0,MX,clear sky
112,Georgetown,5.4112,100.3354,86.95,87.75,74,20,7,MY,few clouds
113,Azanka,58.0401,64.7893,61.84,61.84,68,100,8.03,RU,light rain
114,Severo-Kurilsk,50.6789,156.125,36.48,36.48,97,100,10.8,RU,light rain
115,Dukat,62.55,155.55,8.33,8.33,97,98,4.36,RU,overcast clouds
116,Egvekinot,66.3167,-179.1667,17.49,17.49,86,100,5.57,RU,overcast clouds
